"","pvals.name","pvals.predicted.value","pvals.std.error","pvals.status","avsed","trait","study"
"30","18-12001",60.0485275434407,5.91562362038552,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"31","18-13748",61.0664679266244,5.91169797839111,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"32","18-13852",75.397116604859,6.16443701931322,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"33","18-13965",60.4444369916125,5.99847046223484,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"34","18-14535",72.8880633591823,5.86203811400073,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"35","18-15372",66.7733695077888,5.88486371568446,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"36","18-17119",68.093653109843,6.02466337335633,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"37","18-22132",71.3085384385111,5.95661287599641,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"38","18-22767",63.6262853819737,8.45986888983356,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"39","18-22976",65.2027041694669,6.11129318158067,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"40","18-23224",63.9641099078094,8.21212416857563,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"41","18-23760",71.2612455260899,6.2097434048384,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"42","18-4910",66.0166807177537,5.9187920394748,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"43","18-7928",32.8593023821786,6.06709431936526,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"44","18-7943",50.1685864034617,6.16679497462064,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"45","18-842",71.0955437173749,6.18900604959923,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"46","18-9724",65.0350902604313,5.97216385099144,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"47","18MSFRS-18",80.0805246220296,6.12119749560541,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"66","US16-IL-061-032",67.7460259576951,6.0779534780735,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"67","US16-IL-061-068",71.0214393570872,6.04717075276036,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"68","US16-IL-063-063",72.435209606259,6.25255288771203,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"69","US17-IL-108-039",86.1646244064441,8.30214377396098,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"70","US17-IL-108-070",74.5052900067715,6.26657864457391,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"71","US17-IL-111-005",65.1612576118227,5.93011703824254,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"72","US17-IL-111-006",68.3494310697312,6.10116089269367,"Estimable",8.31676721159328,"Grain.yield...bu.ac","YT_Lex_22"
"102","18-12001",13.2892912480518,0.166594300906126,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"103","18-13748",13.0027674340085,0.166607098033525,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"104","18-13852",12.9224260090044,0.169442453861527,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"105","18-13965",12.3743776387414,0.166273864933386,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"106","18-14535",12.9228632895812,0.16571912088199,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"107","18-15372",12.7447882863663,0.16586606953025,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"108","18-17119",12.4407562014009,0.167354136760551,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"109","18-22132",13.1579415701322,0.167113592175824,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"110","18-22767",12.5815777874632,0.237165707298579,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"111","18-22976",13.2137553373591,0.168430615510678,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"112","18-23224",13.0227928959376,0.166630029739485,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"113","18-23760",12.9316207466696,0.169258353841638,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"114","18-4910",12.9477421990085,0.166557441179677,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"115","18-7928",12.8868725067614,0.168724215435156,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"116","18-7943",12.4751149752911,0.169630732622873,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"117","18-842",12.9233669883054,0.170739703373179,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"118","18-9724",12.8469978149688,0.167133630997915,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"119","18MSFRS-18",12.9532092133132,0.169362773130365,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"138","US16-IL-061-032",12.8434809559098,0.168774519739348,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"139","US16-IL-061-068",12.6476391122962,0.167546120198359,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"140","US16-IL-063-063",12.4816940881836,0.170417647695917,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"141","US17-IL-108-039",12.9062648088414,0.235415211058659,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"142","US17-IL-108-070",12.8786713682601,0.170282911402644,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"143","US17-IL-111-005",12.6979309707912,0.166609077734966,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"144","US17-IL-111-006",12.4255902912774,0.167382338412935,"Estimable",0.236705112157112,"Moisture","YT_Lex_22"
"174","18-12001",59.7937909503189,0.345820438739732,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"175","18-13748",60.8414058773256,0.345660708415106,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"176","18-13852",60.5694323049507,0.355109932143777,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"177","18-13965",59.9692898286675,0.342794306976862,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"178","18-14535",59.4235676888618,0.343870106259407,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"179","18-15372",60.8572808271911,0.345915064297809,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"180","18-17119",58.906023630126,0.356052303700198,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"181","18-22132",61.5835567200077,0.351043896079289,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"182","18-22767",58.0867212365932,0.525812970658166,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"183","18-22976",60.6479866205926,0.337886195196413,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"184","18-23224",60.7217573630282,0.342899674781676,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"185","18-23760",60.8700928512419,0.355917601391929,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"186","18-4910",60.8944258061424,0.34525945818016,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"187","18-7928",60.4179603925087,0.349441058083068,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"188","18-7943",59.7955155396577,0.362352815179989,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"189","18-842",59.5554261765292,0.345423584411042,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"190","18-9724",61.7847457585883,0.356746998837533,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"191","18MSFRS-18",60.5282509217947,0.362409619396588,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"210","US16-IL-061-032",60.1023200410097,0.346236882547455,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"211","US16-IL-061-068",59.1664734933766,0.357133927392304,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"212","US16-IL-063-063",60.195104602253,0.374672423404042,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"213","US17-IL-108-039",61.0253809157956,0.485053068295294,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"214","US17-IL-108-070",61.063167262064,0.361504665219594,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"215","US17-IL-111-005",58.9882382805558,0.349965165337961,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"216","US17-IL-111-006",59.1300761686598,0.348248812239522,"Estimable",0.491360750578704,"Grain.test.weight...lbs.bu","YT_Lex_22"
"246","18-12001",128.141251838785,0.882601688003134,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"247","18-13748",126.997100082127,0.882637393736652,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"248","18-13852",128.955667115446,0.880731896852664,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"249","18-13965",127.547909112029,0.882515404088721,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"250","18-14535",128.004673736877,0.881443347063972,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"251","18-15372",126.503123228368,0.881213402814317,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"252","18-17119",126.561550820025,0.882736675907256,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"253","18-22132",126.495770777452,0.88256756863082,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"254","18-22767",127.081473586739,1.24903204238991,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"255","18-22976",127.983577664434,0.885051122952308,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"256","18-23224",127.013007885952,0.882383772755251,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"257","18-23760",127.779339898976,0.880731583369362,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"258","18-4910",127.0960917111,0.882577140189729,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"259","18-7928",126.653130500996,0.880621776607017,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"260","18-7943",127.091491984724,0.88096004566985,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"261","18-842",126.966924054361,0.887945049412118,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"262","18-9724",127.023003688091,0.882855000926762,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"263","18MSFRS-18",128.504674584397,0.885609079118743,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"282","US16-IL-061-032",126.493394740514,0.885235702091941,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"283","US16-IL-061-068",125.900268906497,0.882913436303439,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"284","US16-IL-063-063",126.120792534898,0.881272340387573,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"285","US17-IL-108-039",129.97166944958,1.24815533458212,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"286","US17-IL-108-070",129.026876962733,0.88585949221488,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"287","US17-IL-111-005",127.502639467739,0.882635095284701,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"288","US17-IL-111-006",127.718574867351,0.88230019429126,"Estimable",1.25985829402986,"Heading.time...Julian.date..JD..CO_321.0001233","YT_Lex_22"
"318","18-12001",35.4853250243274,1.35894608526975,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"319","18-13748",35.4008819759363,1.35777844084394,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"320","18-13852",34.7613115514317,1.40156582218302,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"321","18-13965",32.6999172523942,1.34888552227859,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"322","18-14535",34.0071140468241,1.34869411997743,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"323","18-15372",34.5364546525719,1.36001406184042,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"324","18-17119",32.4206714317375,1.38022133372447,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"325","18-22132",35.9138674900733,1.37012778909202,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"326","18-22767",33.7336388733791,1.98826651761607,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"327","18-22976",36.0711761957004,1.35397828932291,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"328","18-23224",35.4244689525369,1.35365354548721,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"329","18-23760",35.7683167865501,1.402593440703,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"330","18-4910",31.768029875539,1.35919742816179,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"331","18-7928",34.5453682324174,1.38713884477403,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"332","18-7943",31.5443783892508,1.41660371771755,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"333","18-842",35.8310661304251,1.37786632028068,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"334","18-9724",34.1817627609396,1.38002305037071,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"335","18MSFRS-18",35.7443833245472,1.40000932688353,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"354","US16-IL-061-032",35.4654250920393,1.36756336648559,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"355","US16-IL-061-068",32.7955652187265,1.38674680982263,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"356","US16-IL-063-063",32.8394510204853,1.44220520798519,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"357","US17-IL-108-039",35.2358047351439,1.91146415343813,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"358","US17-IL-108-070",36.2583363860966,1.41523541844763,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"359","US17-IL-111-005",33.3056278234239,1.36430090440643,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
"360","US17-IL-111-006",32.4229134125386,1.37006819793219,"Estimable",1.92418535820736,"Plant.height.inches","YT_Lex_22"
