p1,p2,crossN,reciprocalNm,netMerit,cross,reciprocal,Grain.test.weight...lbs.bu,Grain.yield...bu.ac,Heading.time...Julian.date..JD..,Plant.height.inches,FHB.DON.content...ppm.,FHB.grain.incidence.....,select,rank,relValue
5,36,5 x 36,36 x 5,527.2,IL16LCSDH-08-T-2663-21 x 16-36752,16-36752 x IL16LCSDH-08-T-2663-21,58.5,91,133.3,37.9,1.8,0,1,30,103
32,36,32 x 36,36 x 32,525.4,18MSFRS-18 x 16-36752,16-36752 x 18MSFRS-18,58.4,89.9,133.7,37.1,1.4,0,1,52,103
5,32,5 x 32,32 x 5,524.1,IL16LCSDH-08-T-2663-21 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-08-T-2663-21,58.9,89.9,133.9,37.5,1.4,0,1,69,102
1,36,1 x 36,36 x 1,528.5,IL16LCSDH-09-T-2664-28 x 16-36752,16-36752 x IL16LCSDH-09-T-2664-28,59,89.8,133.3,36.9,1.3,0,1,22,103
1,5,1 x 5,5 x 1,527.2,IL16LCSDH-09-T-2664-28 x IL16LCSDH-08-T-2663-21,IL16LCSDH-08-T-2663-21 x IL16LCSDH-09-T-2664-28,59.5,89.8,133.5,37.3,1.3,0,1,31,103
5,6,5 x 6,6 x 5,516.8,IL16LCSDH-08-T-2663-21 x IL16LCSDH-07-T-2662-202,IL16LCSDH-07-T-2662-202 x IL16LCSDH-08-T-2663-21,58.2,89.8,133.7,37.2,1.9,0,1,145,101
6,36,6 x 36,36 x 6,513.6,IL16LCSDH-07-T-2662-202 x 16-36752,16-36752 x IL16LCSDH-07-T-2662-202,57.7,89.8,133.5,36.8,1.8,0,0,349,100
5,16,5 x 16,16 x 5,524.4,IL16LCSDH-08-T-2663-21 x 2020-16758,2020-16758 x IL16LCSDH-08-T-2663-21,57.9,89.7,133.3,37.4,1.5,0,1,66,102
16,36,16 x 36,36 x 16,517.3,2020-16758 x 16-36752,16-36752 x 2020-16758,57.5,89.7,133.1,37,1.5,0,0,290,101
2,36,2 x 36,36 x 2,526.2,IL16LCSDH-09-T-2664-23 x 16-36752,16-36752 x IL16LCSDH-09-T-2664-23,58.9,89.6,133.5,37,1.3,0,1,39,103
2,5,2 x 5,5 x 2,524.9,IL16LCSDH-09-T-2664-23 x IL16LCSDH-08-T-2663-21,IL16LCSDH-08-T-2663-21 x IL16LCSDH-09-T-2664-23,59.3,89.6,133.7,37.4,1.3,0,0,182,102
18,36,18 x 36,36 x 18,529.5,2020-15256 x 16-36752,16-36752 x 2020-15256,58.2,89.5,132.3,37.6,1.5,0,1,13,103
5,18,5 x 18,18 x 5,528.2,IL16LCSDH-08-T-2663-21 x 2020-15256,2020-15256 x IL16LCSDH-08-T-2663-21,58.6,89.5,132.4,38,1.5,0,1,25,103
17,36,17 x 36,36 x 17,519.5,2020-16738 x 16-36752,16-36752 x 2020-16738,57.6,89.5,132.6,37,1.5,0,0,253,101
5,17,5 x 17,17 x 5,525.7,IL16LCSDH-08-T-2663-21 x 2020-16738,2020-16738 x IL16LCSDH-08-T-2663-21,58,89.4,132.8,37.4,1.5,0,1,48,103
3,36,3 x 36,36 x 3,524.9,IL16LCSDH-09-T-2664-20 x 16-36752,16-36752 x IL16LCSDH-09-T-2664-20,58.9,89.4,133.4,36.8,1.4,0,0,181,102
3,5,3 x 5,5 x 3,523.6,IL16LCSDH-09-T-2664-20 x IL16LCSDH-08-T-2663-21,IL16LCSDH-08-T-2663-21 x IL16LCSDH-09-T-2664-20,59.4,89.4,133.6,37.2,1.4,0,0,189,102
4,36,4 x 36,36 x 4,523.5,IL16LCSDH-08-T-2663-55 x 16-36752,16-36752 x IL16LCSDH-08-T-2663-55,58.8,89.4,132.9,37.8,1.6,0,0,191,102
4,5,4 x 5,5 x 4,522.2,IL16LCSDH-08-T-2663-55 x IL16LCSDH-08-T-2663-21,IL16LCSDH-08-T-2663-21 x IL16LCSDH-08-T-2663-55,59.3,89.4,133.1,38.2,1.6,0,0,208,102
15,36,15 x 36,36 x 15,509.4,2020-1956 x 16-36752,16-36752 x 2020-1956,57.4,89.3,133.4,37.4,1.5,0,0,432,99
5,15,5 x 15,15 x 5,516.4,IL16LCSDH-08-T-2663-21 x 2020-1956,2020-1956 x IL16LCSDH-08-T-2663-21,57.8,89.2,133.6,37.8,1.6,0,1,147,101
5,7,5 x 7,7 x 5,514.2,IL16LCSDH-08-T-2663-21 x IL16LCSDH-06-T-2661-228,IL16LCSDH-06-T-2661-228 x IL16LCSDH-08-T-2663-21,57.8,88.9,133.4,37.1,1.6,0,1,168,100
7,36,7 x 36,36 x 7,507.2,IL16LCSDH-06-T-2661-228 x 16-36752,16-36752 x IL16LCSDH-06-T-2661-228,57.3,88.9,133.3,36.8,1.6,0,0,470,99
12,36,12 x 36,36 x 12,526.7,2020-5376 x 16-36752,16-36752 x 2020-5376,57.9,88.8,131.9,36.9,1.5,0,1,36,103
5,12,5 x 12,12 x 5,526.3,IL16LCSDH-08-T-2663-21 x 2020-5376,2020-5376 x IL16LCSDH-08-T-2663-21,58.4,88.8,132.1,37.2,1.5,0,1,38,103
1,32,1 x 32,32 x 1,525.2,IL16LCSDH-09-T-2664-28 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-09-T-2664-28,59.4,88.7,133.9,36.5,1,0,1,53,103
26,36,26 x 36,36 x 26,522.3,19-16136 x 16-36752,16-36752 x 19-16136,57.9,88.7,133,37.1,1.2,0,1,91,102
6,32,6 x 32,32 x 6,514.9,IL16LCSDH-07-T-2662-202 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-07-T-2662-202,58.1,88.7,134.1,36.4,1.5,0,1,160,101
16,32,16 x 32,32 x 16,521.1,2020-16758 x 18MSFRS-18,18MSFRS-18 x 2020-16758,57.9,88.7,133.7,36.6,1.1,0,0,221,102
35,36,35 x 36,36 x 35,505.4,17-23874 x 16-36752,16-36752 x 17-23874,57.8,88.7,133.8,37.6,1.9,0,0,497,99
10,36,10 x 36,36 x 10,526.1,2020-6205 x 16-36752,16-36752 x 2020-6205,58.2,88.6,132.4,37.7,1.4,0,1,45,103
5,26,5 x 26,26 x 5,523.6,IL16LCSDH-08-T-2663-21 x 19-16136,19-16136 x IL16LCSDH-08-T-2663-21,58.3,88.6,133.2,37.5,1.2,0,1,78,102
1,6,1 x 6,6 x 1,518,IL16LCSDH-09-T-2664-28 x IL16LCSDH-07-T-2662-202,IL16LCSDH-07-T-2662-202 x IL16LCSDH-09-T-2664-28,58.7,88.6,133.7,36.2,1.4,0,1,135,101
5,10,5 x 10,10 x 5,524.7,IL16LCSDH-08-T-2663-21 x 2020-6205,2020-6205 x IL16LCSDH-08-T-2663-21,58.7,88.6,132.6,38.1,1.4,0,0,184,102
5,35,5 x 35,35 x 5,507.8,IL16LCSDH-08-T-2663-21 x 17-23874,17-23874 x IL16LCSDH-08-T-2663-21,58.3,88.6,134,37.9,1.9,0,0,456,99
6,16,6 x 16,16 x 6,501.9,IL16LCSDH-07-T-2662-202 x 2020-16758,2020-16758 x IL16LCSDH-07-T-2662-202,57.2,88.6,133.5,36.3,1.6,0,0,549,98
1,16,1 x 16,16 x 1,526.4,IL16LCSDH-09-T-2664-28 x 2020-16758,2020-16758 x IL16LCSDH-09-T-2664-28,58.4,88.5,133.3,36.4,1,0,1,37,103
24,36,24 x 36,36 x 24,523.9,19-20348 x 16-36752,16-36752 x 19-20348,58,88.5,132.4,36.9,1.4,0,1,70,102
5,24,5 x 24,24 x 5,522.6,IL16LCSDH-08-T-2663-21 x 19-20348,19-20348 x IL16LCSDH-08-T-2663-21,58.5,88.5,132.6,37.2,1.5,0,1,87,102
2,32,2 x 32,32 x 2,522.9,IL16LCSDH-09-T-2664-23 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-09-T-2664-23,59.3,88.5,134.1,36.5,1,0,0,198,102
18,32,18 x 32,32 x 18,526.2,2020-15256 x 18MSFRS-18,18MSFRS-18 x 2020-15256,58.6,88.4,132.9,37.1,1.2,0,1,40,103
9,36,9 x 36,36 x 9,524.9,IL16LCSDH-01-T-863-58 x 16-36752,16-36752 x IL16LCSDH-01-T-863-58,58.9,88.4,133.1,36.9,1.1,0,1,56,102
5,9,5 x 9,9 x 5,523.6,IL16LCSDH-08-T-2663-21 x IL16LCSDH-01-T-863-58,IL16LCSDH-01-T-863-58 x IL16LCSDH-08-T-2663-21,59.4,88.4,133.3,37.3,1.2,0,1,76,102
17,32,17 x 32,32 x 17,523.3,2020-16738 x 18MSFRS-18,18MSFRS-18 x 2020-16738,58,88.4,133.2,36.5,1.2,0,1,82,102
2,6,2 x 6,6 x 2,515.7,IL16LCSDH-09-T-2664-23 x IL16LCSDH-07-T-2662-202,IL16LCSDH-07-T-2662-202 x IL16LCSDH-09-T-2664-23,58.6,88.4,133.9,36.3,1.4,0,1,150,101
1,2,1 x 2,2 x 1,526,IL16LCSDH-09-T-2664-28 x IL16LCSDH-09-T-2664-23,IL16LCSDH-09-T-2664-23 x IL16LCSDH-09-T-2664-28,59.8,88.4,133.7,36.4,0.9,0,0,179,103
3,32,3 x 32,32 x 3,521.6,IL16LCSDH-09-T-2664-20 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-09-T-2664-20,59.3,88.4,134,36.4,1,0,0,215,102
1,18,1 x 18,18 x 1,529.3,IL16LCSDH-09-T-2664-28 x 2020-15256,2020-15256 x IL16LCSDH-09-T-2664-28,59.1,88.3,132.5,37,1.1,0,1,17,103
1,17,1 x 17,17 x 1,526.8,IL16LCSDH-09-T-2664-28 x 2020-16738,2020-16738 x IL16LCSDH-09-T-2664-28,58.5,88.3,132.8,36.4,1.1,0,1,34,103
2,16,2 x 16,16 x 2,524.2,IL16LCSDH-09-T-2664-23 x 2020-16758,2020-16758 x IL16LCSDH-09-T-2664-23,58.3,88.3,133.5,36.5,1,0,1,68,102
6,18,6 x 18,18 x 6,517.1,IL16LCSDH-07-T-2662-202 x 2020-15256,2020-15256 x IL16LCSDH-07-T-2662-202,57.9,88.3,132.7,36.8,1.6,0,1,139,101
3,6,3 x 6,6 x 3,514.4,IL16LCSDH-09-T-2664-20 x IL16LCSDH-07-T-2662-202,IL16LCSDH-07-T-2662-202 x IL16LCSDH-09-T-2664-20,58.6,88.3,133.8,36.1,1.5,0,1,165,100
11,36,11 x 36,36 x 11,523.2,2020-6148 x 16-36752,16-36752 x 2020-6148,58.2,88.3,132.7,38.4,1.3,0,0,195,102
5,11,5 x 11,11 x 5,521.9,IL16LCSDH-08-T-2663-21 x 2020-6148,2020-6148 x IL16LCSDH-08-T-2663-21,58.7,88.3,132.8,38.8,1.4,0,0,213,102
16,18,16 x 18,18 x 16,520.8,2020-16758 x 2020-15256,2020-15256 x 2020-16758,57.6,88.3,132.2,37.1,1.2,0,0,228,102
4,32,4 x 32,32 x 4,520.2,IL16LCSDH-08-T-2663-55 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-08-T-2663-55,59.2,88.3,133.5,37.4,1.3,0,0,236,102
6,17,6 x 17,17 x 6,504.1,IL16LCSDH-07-T-2662-202 x 2020-16738,2020-16738 x IL16LCSDH-07-T-2662-202,57.3,88.3,133,36.3,1.6,0,0,521,98
27,36,27 x 36,36 x 27,534.5,19-14856 x 16-36752,16-36752 x 19-14856,58.1,88.2,131.1,37,1.2,0,1,2,104
5,27,5 x 27,27 x 5,533.2,IL16LCSDH-08-T-2663-21 x 19-14856,19-14856 x IL16LCSDH-08-T-2663-21,58.6,88.2,131.3,37.4,1.2,0,1,5,104
34,36,34 x 36,36 x 34,515.5,17-23904 x 16-36752,16-36752 x 17-23904,58.2,88.2,132.4,37.1,1.8,0,1,154,101
5,34,5 x 34,34 x 5,514.2,IL16LCSDH-08-T-2663-21 x 17-23904,17-23904 x IL16LCSDH-08-T-2663-21,58.7,88.2,132.6,37.5,1.8,0,1,169,100
15,32,15 x 32,32 x 15,513.2,2020-1956 x 18MSFRS-18,18MSFRS-18 x 2020-1956,57.8,88.2,134,36.9,1.2,0,1,174,100
1,3,1 x 3,3 x 1,524.7,IL16LCSDH-09-T-2664-28 x IL16LCSDH-09-T-2664-20,IL16LCSDH-09-T-2664-20 x IL16LCSDH-09-T-2664-28,59.9,88.2,133.6,36.2,0.9,0,0,185,102
1,4,1 x 4,4 x 1,523.3,IL16LCSDH-09-T-2664-28 x IL16LCSDH-08-T-2663-55,IL16LCSDH-08-T-2663-55 x IL16LCSDH-09-T-2664-28,59.8,88.2,133.1,37.2,1.2,0,0,193,102
3,16,3 x 16,16 x 3,522.9,IL16LCSDH-09-T-2664-20 x 2020-16758,2020-16758 x IL16LCSDH-09-T-2664-20,58.4,88.2,133.4,36.3,1.1,0,0,200,102
4,16,4 x 16,16 x 4,521.5,IL16LCSDH-08-T-2663-55 x 2020-16758,2020-16758 x IL16LCSDH-08-T-2663-55,58.3,88.2,132.9,37.3,1.3,0,0,219,102
4,6,4 x 6,6 x 4,513,IL16LCSDH-08-T-2663-55 x IL16LCSDH-07-T-2662-202,IL16LCSDH-07-T-2662-202 x IL16LCSDH-08-T-2663-55,58.5,88.2,133.3,37.1,1.7,0,0,359,100
16,17,16 x 17,17 x 16,507.8,2020-16758 x 2020-16738,2020-16738 x 2020-16758,57,88.2,132.6,36.5,1.2,0,0,457,99
2,18,2 x 18,18 x 2,527,IL16LCSDH-09-T-2664-23 x 2020-15256,2020-15256 x IL16LCSDH-09-T-2664-23,59,88.1,132.7,37,1.1,0,1,32,103
2,17,2 x 17,17 x 2,524.5,IL16LCSDH-09-T-2664-23 x 2020-16738,2020-16738 x IL16LCSDH-09-T-2664-23,58.4,88.1,133,36.5,1.1,0,1,62,102
1,15,1 x 15,15 x 1,520.5,IL16LCSDH-09-T-2664-28 x 2020-1956,2020-1956 x IL16LCSDH-09-T-2664-28,58.3,88.1,133.7,36.8,1.1,0,1,114,102
13,36,13 x 36,36 x 13,517.8,2020-2334 x 16-36752,16-36752 x 2020-2334,57.7,88.1,132,37.5,1.5,0,0,281,101
6,15,6 x 15,15 x 6,494.1,IL16LCSDH-07-T-2662-202 x 2020-1956,2020-1956 x IL16LCSDH-07-T-2662-202,57.1,88.1,133.8,36.7,1.6,0,0,622,96
5,13,5 x 13,13 x 5,521.3,IL16LCSDH-08-T-2663-21 x 2020-2334,2020-2334 x IL16LCSDH-08-T-2663-21,58.2,88,132.2,37.9,1.5,0,1,104,102
17,18,17 x 18,18 x 17,522.9,2020-16738 x 2020-15256,2020-15256 x 2020-16738,57.7,88,131.8,37,1.3,0,0,197,102
2,3,2 x 3,3 x 2,522.4,IL16LCSDH-09-T-2664-23 x IL16LCSDH-09-T-2664-20,IL16LCSDH-09-T-2664-20 x IL16LCSDH-09-T-2664-23,59.7,88,133.8,36.3,0.9,0,0,205,102
2,4,2 x 4,4 x 2,521,IL16LCSDH-09-T-2664-23 x IL16LCSDH-08-T-2663-55,IL16LCSDH-08-T-2663-55 x IL16LCSDH-09-T-2664-23,59.7,88,133.3,37.3,1.2,0,0,223,102
15,16,15 x 16,16 x 15,497.8,2020-1956 x 2020-16758,2020-16758 x 2020-1956,56.8,88,133.4,36.9,1.3,0,0,593,97
22,36,22 x 36,36 x 22,518.4,19-6637 x 16-36752,16-36752 x 19-6637,58.7,87.9,132.7,36.8,1.5,0,1,129,101
2,15,2 x 15,15 x 2,518.3,IL16LCSDH-09-T-2664-23 x 2020-1956,2020-1956 x IL16LCSDH-09-T-2664-23,58.2,87.9,133.8,36.9,1.1,0,1,130,101
5,22,5 x 22,22 x 5,517,IL16LCSDH-08-T-2663-21 x 19-6637,19-6637 x IL16LCSDH-08-T-2663-21,59.2,87.9,132.9,37.2,1.5,0,1,140,101
3,18,3 x 18,18 x 3,525.7,IL16LCSDH-09-T-2664-20 x 2020-15256,2020-15256 x IL16LCSDH-09-T-2664-20,59,87.9,132.6,36.9,1.1,0,0,180,103
4,18,4 x 18,18 x 4,524.3,IL16LCSDH-08-T-2663-55 x 2020-15256,2020-15256 x IL16LCSDH-08-T-2663-55,59,87.9,132.1,37.8,1.3,0,0,186,102
3,17,3 x 17,17 x 3,523.3,IL16LCSDH-09-T-2664-20 x 2020-16738,2020-16738 x IL16LCSDH-09-T-2664-20,58.4,87.9,132.9,36.3,1.1,0,0,194,102
4,17,4 x 17,17 x 4,521.9,IL16LCSDH-08-T-2663-55 x 2020-16738,2020-16738 x IL16LCSDH-08-T-2663-55,58.4,87.9,132.4,37.3,1.4,0,0,214,102
20,36,20 x 36,36 x 20,528.9,2020-13902 x 16-36752,16-36752 x 2020-13902,58,87.8,132,37.3,1.1,0,1,20,103
5,20,5 x 20,20 x 5,527.6,IL16LCSDH-08-T-2663-21 x 2020-13902,2020-13902 x IL16LCSDH-08-T-2663-21,58.5,87.8,132.2,37.6,1.1,0,1,28,103
19,36,19 x 36,36 x 19,520.6,2020-14116 x 16-36752,16-36752 x 2020-14116,58,87.8,132.8,37.4,1.3,0,1,113,102
5,19,5 x 19,19 x 5,519.4,IL16LCSDH-08-T-2663-21 x 2020-14116,2020-14116 x IL16LCSDH-08-T-2663-21,58.5,87.8,132.9,37.8,1.3,0,1,123,101
3,4,3 x 4,4 x 3,519.7,IL16LCSDH-09-T-2664-20 x IL16LCSDH-08-T-2663-55,IL16LCSDH-08-T-2663-55 x IL16LCSDH-09-T-2664-20,59.7,87.8,133.2,37.1,1.2,0,0,246,101
15,18,15 x 18,18 x 15,512.9,2020-1956 x 2020-15256,2020-15256 x 2020-1956,57.5,87.8,132.6,37.4,1.3,0,0,361,100
7,32,7 x 32,32 x 7,511,IL16LCSDH-06-T-2661-228 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-06-T-2661-228,57.7,87.8,133.9,36.3,1.2,0,0,393,100
12,32,12 x 32,32 x 12,524.3,2020-5376 x 18MSFRS-18,18MSFRS-18 x 2020-5376,58.3,87.7,132.5,36.4,1.1,0,1,67,102
14,36,14 x 36,36 x 14,522.9,2020-2010 x 16-36752,16-36752 x 2020-2010,57.9,87.7,132.1,36.6,1.3,0,1,85,102
5,14,5 x 14,14 x 5,522.8,IL16LCSDH-08-T-2663-21 x 2020-2010,2020-2010 x IL16LCSDH-08-T-2663-21,58.4,87.7,132.3,37,1.3,0,1,86,102
31,36,31 x 36,36 x 31,522.5,US16-IL-063-063 x 16-36752,16-36752 x US16-IL-063-063,58.1,87.7,131.8,35.9,1.5,0,1,88,102
5,31,5 x 31,31 x 5,521.2,IL16LCSDH-08-T-2663-21 x US16-IL-063-063,US16-IL-063-063 x IL16LCSDH-08-T-2663-21,58.5,87.7,132,36.3,1.5,0,1,106,102
1,7,1 x 7,7 x 1,519.1,IL16LCSDH-09-T-2664-28 x IL16LCSDH-06-T-2661-228,IL16LCSDH-06-T-2661-228 x IL16LCSDH-09-T-2664-28,58.3,87.7,133.5,36.1,1.1,0,1,125,101
3,15,3 x 15,15 x 3,517,IL16LCSDH-09-T-2664-20 x 2020-1956,2020-1956 x IL16LCSDH-09-T-2664-20,58.2,87.7,133.7,36.7,1.2,0,1,141,101
4,15,4 x 15,15 x 4,515.6,IL16LCSDH-08-T-2663-55 x 2020-1956,2020-1956 x IL16LCSDH-08-T-2663-55,58.2,87.7,133.2,37.7,1.4,0,1,151,101
15,17,15 x 17,17 x 15,500,2020-1956 x 2020-16738,2020-16738 x 2020-1956,56.9,87.7,132.9,36.8,1.3,0,0,575,98
6,7,6 x 7,7 x 6,492,IL16LCSDH-07-T-2662-202 x IL16LCSDH-06-T-2661-228,IL16LCSDH-06-T-2661-228 x IL16LCSDH-07-T-2662-202,57,87.7,133.7,36,1.7,0,0,630,96
1,12,1 x 12,12 x 1,527.3,IL16LCSDH-09-T-2664-28 x 2020-5376,2020-5376 x IL16LCSDH-09-T-2664-28,58.9,87.6,132.2,36.3,1,0,1,29,103
10,32,10 x 32,32 x 10,522.7,2020-6205 x 18MSFRS-18,18MSFRS-18 x 2020-6205,58.6,87.6,133,37.2,1,0,0,203,102
26,32,26 x 32,32 x 26,521.5,19-16136 x 18MSFRS-18,18MSFRS-18 x 19-16136,58.3,87.6,133.6,36.6,0.9,0,0,216,102
12,16,12 x 16,16 x 12,514.9,2020-5376 x 2020-16758,2020-16758 x 2020-5376,57.4,87.6,131.9,36.4,1.2,0,0,335,101
6,12,6 x 12,12 x 6,511.2,IL16LCSDH-07-T-2662-202 x 2020-5376,2020-5376 x IL16LCSDH-07-T-2662-202,57.7,87.6,132.3,36.1,1.6,0,0,389,100
32,35,32 x 35,35 x 32,505.9,18MSFRS-18 x 17-23874,17-23874 x 18MSFRS-18,58.2,87.6,134.4,37.1,1.6,0,0,488,99
7,16,7 x 16,16 x 7,495.6,IL16LCSDH-06-T-2661-228 x 2020-16758,2020-16758 x IL16LCSDH-06-T-2661-228,56.8,87.6,133.2,36.2,1.3,0,0,613,97
1,10,1 x 10,10 x 1,525.7,IL16LCSDH-09-T-2664-28 x 2020-6205,2020-6205 x IL16LCSDH-09-T-2664-28,59.2,87.5,132.6,37.1,0.9,0,1,47,103
1,26,1 x 26,26 x 1,524.5,IL16LCSDH-09-T-2664-28 x 19-16136,19-16136 x IL16LCSDH-09-T-2664-28,58.8,87.5,133.3,36.5,0.8,0,1,63,102
2,7,2 x 7,7 x 2,516.8,IL16LCSDH-09-T-2664-23 x IL16LCSDH-06-T-2661-228,IL16LCSDH-06-T-2661-228 x IL16LCSDH-09-T-2664-23,58.2,87.5,133.7,36.2,1.1,0,1,144,101
6,10,6 x 10,10 x 6,514.1,IL16LCSDH-07-T-2662-202 x 2020-6205,2020-6205 x IL16LCSDH-07-T-2662-202,57.9,87.5,132.8,37,1.5,0,0,343,100
1,35,1 x 35,35 x 1,508.9,IL16LCSDH-09-T-2664-28 x 17-23874,17-23874 x IL16LCSDH-09-T-2664-28,58.8,87.5,134,37,1.5,0,0,439,99
6,26,6 x 26,26 x 6,506.9,IL16LCSDH-07-T-2662-202 x 19-16136,19-16136 x IL16LCSDH-07-T-2662-202,57.6,87.5,133.4,36.4,1.3,0,0,476,99
6,35,6 x 35,35 x 6,490.1,IL16LCSDH-07-T-2662-202 x 17-23874,17-23874 x IL16LCSDH-07-T-2662-202,57.5,87.5,134.2,36.8,2,0,0,642,96
2,12,2 x 12,12 x 2,525,IL16LCSDH-09-T-2664-23 x 2020-5376,2020-5376 x IL16LCSDH-09-T-2664-23,58.8,87.4,132.3,36.3,1,0,1,54,102
23,36,23 x 36,36 x 23,523.7,19-21848 x 16-36752,16-36752 x 19-21848,58.1,87.4,131.9,36.6,1.2,0,1,73,102
9,32,9 x 32,32 x 9,521.5,IL16LCSDH-01-T-863-58 x 18MSFRS-18,18MSFRS-18 x IL16LCSDH-01-T-863-58,59.3,87.4,133.7,36.5,0.8,0,0,217,102
24,32,24 x 32,32 x 24,520.6,19-20348 x 18MSFRS-18,18MSFRS-18 x 19-20348,58.4,87.4,133,36.4,1.1,0,0,233,102
10,16,10 x 16,16 x 10,517.8,2020-6205 x 2020-16758,2020-16758 x 2020-6205,57.6,87.4,132.4,37.2,1.1,0,0,284,101
7,18,7 x 18,18 x 7,510.7,IL16LCSDH-06-T-2661-228 x 2020-15256,2020-15256 x IL16LCSDH-06-T-2661-228,57.5,87.4,132.4,36.8,1.3,0,0,400,100
16,26,16 x 26,26 x 16,510.6,2020-16758 x 19-16136,19-16136 x 2020-16758,57.3,87.4,133,36.6,1,0,0,403,100
