"","germplasmName","Urb_21","Urb_20","Msn_22","Scb_20","Neo_21","War_22","Add_22","Neo_20","Blk_22","Stj_20","Stj_21","Lex_22","Car_20","Blv_22","Neo_22","Stp_22","Urb_22","AvgYld"
"1","07-19334",54.76,57.3,56.53,57.69,57.6,60.39,58.4,58.75,59.83,59.03,58.93,60.96,60.33,60.89,60.82,61.92,61.33,59.26
"2","12-26004",53.79,56.26,61.5,56.33,57.01,56.31,56.91,58.22,57.84,58.84,58.63,58.7,59.32,59.67,60.45,60.56,61.3,58.46125
"3","16-8048",55.04,57.21,53.43,57.65,57.55,59.07,58.29,58.7,59.78,59.01,59.13,60.77,60.24,60.64,60.79,61.8,61.92,58.988125
"4","17-8930",52.39,55.03,60.9,54.71,55.77,55.78,55.26,57.86,56.57,57.91,57.33,57.3,58.13,58.38,58.8,58.47,59.75,57.206875
"5","18-12001",54.7,56.78,59.1,57.13,57.29,58.09,57.7,58.97,58.8,58.91,59.16,59.83,59.82,59.9,60.61,61.29,61.36,58.91625
"6","18-12756",54.9,57.25,59.82,57.48,57.86,57.83,59.08,58.98,59.17,59.39,59.42,60.18,60.28,60.76,61.45,61.95,61.58,59.383125
"7","18-12809",54.63,57.14,48.34,57.5,57.96,56.97,58.7,58.71,58.69,59.58,59.49,59.55,60.18,60.1,61.78,61.42,62.12,58.4825
"8","18-13748",54.88,57.44,60.61,57.81,58.09,58.19,58.88,58.22,59.55,59.58,59.5,60.56,60.47,60.39,61.79,61.9,62.3,59.545
"9","18-13756",55.44,57.2,45.71,57.23,57.74,58.43,58.38,58.17,59.41,59.26,59.58,60.3,60.24,60.11,61.22,61.51,61.33,58.37875
"10","18-13765",54.92,57.33,59.14,57.45,57.89,58.41,58.66,57.73,59.52,59.39,59.54,60.38,60.36,60.95,61.45,61.77,61.7,59.32875
"11","18-13852",54.4,56.74,56.67,57.13,57.1,58.68,57.74,59.15,59.12,58.69,58.62,60.36,59.78,60.27,60.22,61.07,60.72,58.7325
"12","18-13965",54.77,57.32,61.09,57.62,58.02,57.82,59.11,59.72,59.14,59.55,59.39,60,60.35,60.4,61.74,61.63,62.16,59.531875
"13","18-14535",54.48,56.71,59.45,57.05,57.33,57.68,57.32,58.83,58.69,58.99,59.23,59.49,59.76,60.27,60.75,60.76,61.4,58.8425
"14","18-15372",54.96,57.45,59.98,57.73,58.1,57.49,58.92,58.89,59.41,59.59,59.81,60.56,60.47,60.97,61.81,61.78,62.01,59.53
"15","18-16828",54.52,56.96,60.35,57.27,57.6,57.28,58.78,58.89,58.87,59.22,59.09,59.76,60,60.49,61.14,61.23,61.82,59.144375
"16","18-17119",54.92,56.85,59.13,57.13,57.44,58.44,58.13,58.56,58.96,59.07,59.31,59.37,59.9,59.81,60.88,60.81,61.34,58.95
"17","18-17905",54.77,56.93,60.4,56.94,57.62,56.96,58.13,57.77,58.83,59.26,59.27,59.6,59.97,60.48,61.21,61.14,61.6,58.996875
"18","18-22132",55.87,58.09,59.29,58.58,58.68,59.11,59.2,60.23,60.35,59.98,60.47,61.38,61.1,61.44,62.51,62.16,62.82,60.198125
"19","18-22767",54.6,56.7,60.72,56.84,57.46,56.96,58.34,57.54,58.39,59.17,58.68,58.88,59.75,59.84,61.05,61.08,61.59,58.805625
"20","18-22976",55.26,57.44,57.03,57.81,57.83,60.01,58.81,59.14,59.95,59.25,59.11,60.78,60.46,60.49,61.21,61.81,61.61,59.41
"21","18-23224",55.89,57.75,60.5,58.23,58.45,58.03,59.22,58.49,59.61,59.87,60.35,60.63,60.77,60.37,62.31,62.24,62.59,59.846875
"22","18-23760",55.12,57,58.16,57.59,57.43,57.93,58.07,59.11,59.29,58.97,59.08,60.57,60.04,60.57,60.71,61.27,60.99,59.05625
"23","18-26037",55.69,57.65,57.51,58.08,58.06,59.94,58.64,58.21,60.05,59.43,59.76,61.11,60.67,60.61,61.53,62.19,62.19,59.604375
"24","18-4910",55.9,58.14,60.63,58.79,58.83,58.71,59.76,58.52,60.05,60.15,60.68,60.96,61.15,61.82,62.81,62.42,62.59,60.235625
"25","18-5737",54.1,56.68,59.75,56.92,57.3,57.52,57.9,58.67,58.57,58.98,58.93,59.47,59.72,60.04,60.73,61.21,61.63,58.84
"26","18-5837",56.01,58.08,60.39,58.61,58.69,59.12,59.66,60.04,60.23,60,60.31,61.15,61.09,61.37,62.54,62.53,63.1,60.3025
"27","18-6274",56.47,58.44,58.94,58.72,58.95,59.98,59.43,58.85,60.89,60.14,60.58,61.8,61.44,61.91,62.8,63.04,63.39,60.458125
"28","18-6852",54.48,56.83,59.52,56.94,57.42,58.2,58.33,57.87,58.71,59.05,59.29,59.73,59.87,60.2,60.85,61.06,61.26,58.92375
"29","18-7928",55.21,57.7,60.36,57.96,58.42,57.96,58.98,59.78,59.6,59.86,60.17,60.43,60.72,60.9,62.28,62.2,62.54,59.835625
"30","18-7943",55.08,57.26,58.58,57.56,57.91,57.67,58.79,60.03,59.19,59.45,59.83,59.94,60.29,60.85,61.57,61.61,62.34,59.418125
"31","18-842",54.31,56.77,61,56.97,57.51,56.93,58.3,57.6,58.56,59.2,59.17,59.43,59.82,60.26,61.1,60.58,61.77,58.906875
"32","18-9724",56.08,57.89,29.71,58.09,58.21,60.12,59.22,59.12,60.5,59.49,59.96,61.68,60.9,61.05,61.65,62.19,62.12,58.130625
"33","18MSFRS-18",55.35,57.49,57.43,57.75,57.86,59.88,58.31,59.44,59.96,59.25,59.25,60.8,60.51,61.13,61.23,62.48,61.76,59.524375
"34","Kaskaskia",55.13,57.33,54.25,57.26,57.72,59.38,57.42,58.72,59.86,59.16,59.1,60.8,60.36,60.86,61.06,62.26,62.03,59.085625
"35","Pio 25R74",53.21,56.01,58.17,56.01,56.49,57.73,57.03,58.27,58.03,58.31,57.79,59.03,59.07,59.13,59.53,60.59,60.99,58.08625
"36","US16-IL-061-032",54.83,56.97,45.09,57.26,57.46,58.39,58.27,58.39,59.06,59.03,59.04,60.12,60.01,60.42,60.81,61.5,61.34,58.18875
"37","US16-IL-061-068",54.61,56.91,59.85,57.03,57.55,57.91,57.99,56.32,58.91,59.17,59.37,59.47,59.96,60.76,61.07,60.91,61.7,58.91125
"38","US16-IL-063-026",55.7,57.98,59.46,58.33,58.56,59.32,59.07,54.58,60.21,59.88,60.13,61.1,60.99,61.49,62.34,62.49,63.01,59.79125
"39","US16-IL-063-063",54.1,56.72,58.79,56.74,57.28,57.52,57.99,58.7,58.79,58.93,58.76,59.9,59.77,60.21,60.64,60.88,61.58,58.78625
"40","US17-IL-108-039",54.6,56.98,43.49,57.2,57.37,58.61,58,58.14,59.31,58.91,59.1,60.57,60.01,60.31,60.61,61.32,61.24,58.049375
"41","US17-IL-108-070",55.69,57.82,58.14,58.19,58.37,59.22,59.57,59.32,60.04,59.73,60.1,61.01,60.83,60.5,62.07,62.04,62.17,59.811875
"42","US17-IL-111-005",53.66,56,59.07,55.64,56.55,56.47,57,58.36,57.99,58.39,58.18,58.92,59.06,60.02,59.66,60.34,60.61,58.12
"43","US17-IL-111-006",54.62,57.26,61.45,57.61,58.07,56.92,58.76,59.07,59.02,59.65,59.7,59.43,60.29,61.02,61.92,61.6,62.11,59.4525
