"","observationUnitName","germplasmDbId","variable","value","resids"
"1","Adv_Brt_15-plot1001","84789","Grain.test.weight...lbs.bu",46.2,-3.39004728351867
"101","Adv_Brt_15-plot1101","95745","Grain.test.weight...lbs.bu",55.3,3.26701452836506
"469","Adv_Brt_15-plot1109","95781","Grain.yield...bu.ac",48.5,-3.6150916535683
"947","Adv_Brt_15-plot2107","94779","Plant.height.inches",36.00001944,3.09939331068875
"1048","Adv_Brt_15-plot3088","94779","Plant.height.inches",26.00001404,-3.97489994328552
"366","Adv_Car_16-plot1006","85081","Grain.yield...bu.ac",31.1,-3.35222576923116
"7","Adv_Car_19-plot1007","84968","Grain.test.weight...lbs.bu",53,-3.48115925732492
"471","Adv_Car_19-plot1111","96878","Grain.yield...bu.ac",43.8,-3.4803222139126
"173","Adv_Car_19-plot2053","96808","Grain.test.weight...lbs.bu",57.5,4.14523442127465
"347","Adv_Car_19-plot3107","96808","Grain.test.weight...lbs.bu",52.6,-4.14523442127475
"707","Adv_Car_19-plot3107","96808","Grain.yield...bu.ac",82.4,3.09888324954311
"1191","Adv_Neo_17-plot1111","84922","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",9,3.57967459903568
"202","Adv_Neo_17-plot2082","84915","Grain.test.weight...lbs.bu",49.3,-3.88834027218879
"315","Adv_Neo_17-plot3075","84915","Grain.test.weight...lbs.bu",55,3.88834027218883
"1429","Adv_Neo_17-plot3109","84982","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,-3.38462866970875
"749","Adv_Neo_18-plot1029","85052","Plant.height.inches",36.00001944,3.36185206405786
"72","Adv_Neo_18-plot1072","84825","Grain.test.weight...lbs.bu",49.3,-5.54741521155763
"433","Adv_Neo_18-plot1073","84732","Grain.yield...bu.ac",45.2,-3.32291671071366
"129","Adv_Neo_18-plot2009","84825","Grain.test.weight...lbs.bu",57.4,3.08148688560082
"175","Adv_Neo_18-plot2055","84789","Grain.test.weight...lbs.bu",55.9,3.42992924302087
"9","Adv_Rid_17-plot1009","84759","Grain.test.weight...lbs.bu",61,3.47635589087204
"45","Adv_Rid_18-plot1045","85129","Grain.test.weight...lbs.bu",47.1,-3.15885737391077
"105","Adv_Rid_18-plot1105","85219","Grain.test.weight...lbs.bu",47.4,-3.65871332781731
"905","Adv_Rid_18-plot2065","85219","Lodging.incidence...0.9.percentage.scale.",6,3.28634045205544
"389","Adv_Scb_16-plot1029","93487","FHB.grain.incidence.....",80,3.46607082204007
"513","Adv_Scb_16-plot2033","96033","FHB.grain.incidence.....",80,3.64373296183553
"518","Adv_Scb_16-plot2038","84968","FHB.grain.incidence.....",90,3.33658972348387
"1465","Adv_Scb_19-plot1013","85012","Heading.time...Julian.date..JD..",145,3.01579705885413
"2562","Adv_Scb_20-plot3098","97185","Grain.test.weight...lbs.bu",53.76017894312,-3.25290775034279
"3136","Adv_Scb_20-plot3144","97301","Heading.time...Julian.date..JD..",135,3.14626446448209
"1094","ADV_Scb_21-rep1-18-11122_1038","240463","FHB.incidence.....",30,5.33540114274152
"54","ADV_Scb_21-rep1-18-14535_1054","240518","FHB.DON.content...ppm.",1.2,3.39035758517204
"1166","ADV_Scb_21-rep1-18-16837_1110","240551","FHB.incidence.....",3,3.24996025966691
"1590","ADV_Scb_21-rep1-US16-IL-061-132_1006","100989","FHB.severity.....",7,3.55099563926302
"1828","ADV_Scb_21-rep2-17-29544_1244","97201","FHB.severity.....",7,3.31127700131391
"243","ADV_Scb_21-rep2-17-8824_1243","97307","FHB.DON.content...ppm.",0.46,-3.3903575887056
"1254","ADV_Scb_21-rep2-18-6852_1198","240634","FHB.incidence.....",10,3.06160708325474
"1803","ADV_Scb_21-rep2-18-7750_1219","240645","FHB.severity.....",7,3.03534956256934
"844","ADV_Scb_21-rep2-18-9949_1316","240677","FHB.grain.incidence.....",8,3.02478008699281
"1840","ADV_Scb_21-rep2-US16-IL-062-031_1256","101069","FHB.severity.....",10,3.39604518913135
"723","ADV_Scb_21-rep2-US16-IL-064-029_1195","240821","FHB.grain.incidence.....",5,3.43088716245531
"1990","ADV_Scb_21-rep3-18-13965_1406","240503","FHB.severity.....",7,3.38501190554789
"1576","ADV_Scb_21-rep3-18-17108_1520","240553","FHB.incidence.....",5,-3.77536214661442
"921","ADV_Scb_21-rep3-18-5270_1393","240623","FHB.grain.incidence.....",10,3.38833862348029
"2024","ADV_Scb_21-rep3-US16-IL-061-068_1440","240805","FHB.severity.....",7,3.25292498172847
"355","Adv_Stj_15-plot3115","84817","Grain.test.weight...lbs.bu",60.8,4.37676736749235
"65","Adv_Stj_16-plot1065","96246","Grain.test.weight...lbs.bu",52.9,-3.45081751129697
"626","Adv_Stj_16-plot3026","96272","Grain.yield...bu.ac",31.1,-3.89555571442915
"470","Adv_Stj_17-plot1110","84693","Grain.yield...bu.ac",32.5,-3.41467132746881
"11","Adv_Stj_19-plot1001","84789","Grain.test.weight...lbs.bu",54.7,-3.28822111020223
"498","Adv_Stj_21-plot308","101003","Grain.test.weight...lbs.bu",53.8,-4.12659802969093
"211","Adv_Stj_21-plot401","97102","Grain.moisture.content.....",11.4,-5.05945341100916
"561","Adv_Stj_21-plot401","97102","Grain.test.weight...lbs.bu",58.3,3.23547005189597
"597","Adv_Stj_21-plot437","101003","Grain.test.weight...lbs.bu",59.3,4.12659802969104
"308","Adv_Stj_21-plot528","97102","Grain.moisture.content.....",18.5,5.05945341100925
"658","Adv_Stj_21-plot528","97102","Grain.test.weight...lbs.bu",58.1,-3.23547005189603
"10","Adv_Urb_15-plot1010","93607","Grain.test.weight...lbs.bu",51.5,-4.87208305002695
"400","Adv_Urb_15-plot1040","95377","Grain.yield...bu.ac",74,-3.16045585338215
"1801","Adv_Urb_16-plot1001","84789","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,-3.23021840556684
"6","Adv_Urb_16-plot1006","85081","Grain.test.weight...lbs.bu",52.5,-4.36512639210427
"902","Adv_Urb_16-plot2062","96144","Heading.time...Julian.date..JD..",129,3.01238016369055
"1282","Adv_Urb_16-plot2082","85102","Lodging.incidence...0.9.percentage.scale.",9,3.06129335576337
"940","Adv_Urb_16-plot2100","85126","Heading.time...Julian.date..JD..",126,-3.18791759136173
"945","Adv_Urb_16-plot2105","96209","Heading.time...Julian.date..JD..",125,-3.16814660790038
"591","Adv_Urb_16-plot2111","96247","Grain.yield...bu.ac",98.3999999999999,-3.00677749516422
"238","Adv_Urb_16-plot2118","84900","Grain.test.weight...lbs.bu",57.7999999999999,3.37698123856934
"1358","Adv_Urb_16-plot3038","95810","Lodging.incidence...0.9.percentage.scale.",8,3.4696209752867
"1359","Adv_Urb_16-plot3039","93487","Lodging.incidence...0.9.percentage.scale.",8,3.25058049178948
"317","Adv_Urb_16-plot3077","96076","Grain.test.weight...lbs.bu",51.5,-3.37981215289087
"2149","Adv_Urb_16-plot3109","93607","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",7,3.21266006179026
"12","Adv_Urb_17-plot1001","84789","Grain.test.weight...lbs.bu",56,-3.16499321306866
"1082","Adv_Urb_17-plot1002","85077","Plant.height.inches",34.00001836,-3.87550491290787
"1083","Adv_Urb_17-plot1003","84900","Plant.height.inches",33.00001782,-3.13057044937316
"5","Adv_Urb_17-plot1005","85081","Grain.test.weight...lbs.bu",55.4,-3.55006602697158
"1208","Adv_Urb_17-plot2008","85077","Plant.height.inches",41.00002214,3.21492587029911
"881","Adv_Urb_17-plot2041","84915","Heading.time...Julian.date..JD..",121,3.04986349837798
"4","Adv_Urb_18-plot1004","85257","Grain.test.weight...lbs.bu",50.7,-4.31518175099257
"218","Adv_Urb_18-plot2098","85166","Grain.test.weight...lbs.bu",52.2,-3.69278204987631
"496","Adv_Urb_19-plot2016","96743","Grain.yield...bu.ac",41.5,-3.0665916533722
"1216","Adv_Urb_19-plot2016","96743","Plant.height.inches",38.00002052,3.1585098227495
"260","Adv_Urb_19-plot3020","96644","Grain.test.weight...lbs.bu",57.3999999999999,3.54075891397407
"697","Adv_Urb_19-plot3097","96743","Grain.yield...bu.ac",49.5,3.0665916533723
"1417","Adv_Urb_19-plot3097","96743","Plant.height.inches",29.00001566,-3.15850982274925
"351","Adv_Urb_20-plot101","96941","Grain.test.weight...lbs.bu",52.238265435468,-3.20203995372748
"408","Adv_Urb_20-plot158","96869","Grain.test.weight...lbs.bu",55.8172028521186,3.06953176865316
"609","Adv_Urb_20-plot449","96941","Grain.test.weight...lbs.bu",55.7223965667945,3.20203995372752
"642","Adv_Urb_20-plot512","96869","Grain.test.weight...lbs.bu",50.7687679469093,-3.06953176865313
"541","Adv_Urb_21-plot351","240453","Grain.test.weight...lbs.bu",55.4996159467854,6.31840238231414
"5911","Adv_Urb_21-plot431","240453","Grain.test.weight...lbs.bu",46.6998826102432,-6.31840238231404
"701","AdvHY_Urb_20-plot10101","96752","Grain.test.weight...lbs.bu",51.6220245536704,-3.0653875569172
"856","AdvHY_Urb_20-plot30116","96752","Grain.test.weight...lbs.bu",60.1782921634794,3.06538755691719
"3811","Pr_Scb_20-plot1007","240683","Grain.test.weight...lbs.bu",59.66447605248,3.00888852693354
"1311","Pr_Scb_20-plot2043","240803","FHB.grain.incidence.....",45,3.64852322208289
"4194","Pr_Scb_20-plot2073","240496","Grain.test.weight...lbs.bu",59.97522853192,3.43256841938863
"4215","Pr_Scb_20-plot2094","240683","Grain.test.weight...lbs.bu",51.58491158704,-3.46582617942718
"1393","Pr_Scb_20-plot2125","240454","FHB.grain.incidence.....",45,3.01717978908983
"5217","Pr_Scb_20-plot2145","240804","Heading.time...Julian.date..JD..",138,3.40675635202038
"4267","Pr_Scb_20-plot2146","240573","Grain.test.weight...lbs.bu",50.03114918984,-4.43796194482509
"5220","Pr_Scb_20-plot2148","84789","Heading.time...Julian.date..JD..",147,3.27927290653673
"5236","Pr_Scb_20-plot2164","240866","Heading.time...Julian.date..JD..",129,-3.50086399044773
"1437","Pr_Scb_20-plot2169","240566","FHB.grain.incidence.....",70,5.11415756381057
"4318","Pr_Scb_20-plot2197","240851","Grain.test.weight...lbs.bu",49.40964423096,-3.65612820774101
"1516","Pr_Scb_20-plot2248","240470","FHB.grain.incidence.....",45,3.00463281969164
"1564","Pr_Scb_20-plot2296","240850","FHB.grain.incidence.....",60,4.44709061669634
"4467","Pr_Scb_20-plot3029","240496","Grain.test.weight...lbs.bu",50.65265414872,-4.69537164703857
"2638","Pr_Scb_20-plot3102","240656","FHB.incidence.....",90,3.00463675216364
"4645","Pr_Scb_20-plot3207","240465","Grain.test.weight...lbs.bu",51.2741591076,-3.57760854896081
"1813","Pr_Scb_20-plot3228","240557","FHB.grain.incidence.....",50,3.22353151285526
"1821","Pr_Scb_20-plot3236","240560","FHB.grain.incidence.....",60,3.55987946080315
"51","Pr_StJ_20-plot105","240825","Grain.test.weight...lbs.bu",48.2564012809413,-3.98844383737286
"198","Pr_StJ_20-plot330","240662","Grain.test.weight...lbs.bu",60.0834858781553,3.62394001349308
"226","Pr_StJ_20-plot358","240825","Grain.test.weight...lbs.bu",60.0360827316088,3.98844383737282
"407","Pr_StJ_20-plot571","240662","Grain.test.weight...lbs.bu",49.0385531678827,-3.62394001349309
"654","Pr_Urb_20-plot124","240551","Grain.test.weight...lbs.bu",58.1399569474384,3.46123928446627
"850","Pr_Urb_20-plot410","240551","Grain.test.weight...lbs.bu",53.6840613429846,-3.46123928446633
"853","Pr_Urb_20-plot413","240523","Grain.test.weight...lbs.bu",53.9210770679482,-3.44759037444864
"1111","Pr_Urb_20-plot761","240523","Grain.test.weight...lbs.bu",58.5428836697769,3.44759037444871
"166","Pr3_Brt_15-plot138","96224","Grain.test.weight...lbs.bu",NA,-3.00788236310858
"891","Pr3_Brt_15-plot205","96288","Grain.yield...bu.ac",NA,3.00788236310858
"841","Pr1_Brt_16-plot101","84789","Grain.yield...bu.ac",61.2,3.03351150415124
"1689","Pr1_Brt_16-plot109","84980","Plant.height.inches",40.0000216,-3.42544679665084
"2555","Pr1_Brt_16-plot135","96577","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",3,3.42544679665084
"977","Pr1_Brt_16-plot253","96573","Grain.yield...bu.ac",69.2,-3.42544679665085
"2669","Pr1_Brt_16-plot265","96314","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",7,3.42544679665083
"2571","Pr1_Neo_17-plot151","85107","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",4,3.13384298548121
"2585","Pr1_Neo_17-plot165","84989","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",4,-3.13384298548121
"984","Pr1_Neo_17-plot260","84664","Grain.yield...bu.ac",65.5,-3.13384298548121
"1829","Pr1_Neo_17-plot265","84728","Plant.height.inches",39.00002106,3.13384298548121
"2700","Pr2_Neo_17-plot112","84674","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",5,3.13384298548121
"2704","Pr2_Neo_17-plot116","85010","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",6,3.13384298548121
"2719","Pr2_Neo_17-plot131","85002","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",4,-3.13384298548121
"1046","Pr2_Neo_17-plot138","84815","Grain.yield...bu.ac",82.4,-3.13384298548121
"16","Pr1_Neo_18-plot116","96706","Grain.test.weight...lbs.bu",NA,3.30158619507277
"894","Pr1_Neo_18-plot154","96950","Grain.yield...bu.ac",69.7,-3.30158619507276
"542","Pr2_Rid_18-plot138","97018","Grain.yield...bu.ac",81,3.55460387220714
"1195","Pr1_Scb_15-plot101","96212","FHB.incidence.....",70,-3.01835908831361
"80","Pr1_Scb_15-plot216","96291","FHB.grain.incidence.....",38,-3.01835908831361
"2609","Pr2_Scb_15-plot129","96136","FHB.severity.....",52.1,3.08323332211222
"1431","Pr2_Scb_15-plot145","96189","FHB.incidence.....",80,-3.17200858941555
"1442","Pr2_Scb_15-plot156","95314","FHB.incidence.....",85,3.47247872490379
"1455","Pr2_Scb_15-plot205","84900","FHB.incidence.....",95,-3.58678280090268
"1476","Pr2_Scb_15-plot226","95985","FHB.incidence.....",75,-3.17542302277337
"1478","Pr2_Scb_15-plot228","96133","FHB.incidence.....",70,3.64661482615265
"2674","Pr2_Scb_15-plot230","96076","FHB.severity.....",15.1,3.15493642262645
"1501","Pr2_Scb_15-plot251","96003","FHB.incidence.....",65,3.20956735635159
"1502","Pr2_Scb_15-plot252","96179","FHB.incidence.....",90,3.43150552460994
"168","Pr1_Scb_16-plot284","85215","FHB.grain.incidence.....",5,3.55808285036609
"3227","Pr1_Scb_19-plot135","97257","FHB.incidence.....",90,3.21866140106026
"90","Pr1_Scb_19-plot204","97283","FHB.DON.content...ppm.",5.8,3.21866140106026
"6532","Pr1_Scb_19-plot262","97247","Heading.time...Julian.date..JD..",NA,3.21866140106026
"185","Pr1_Scb_19-plot313","97278","FHB.DON.content...ppm.",NA,3.21866140106026
"2733","Pr1_Urb_15-plot161","84769","Plant.height.inches",40.0000215999996,3.22932826481053
"651","Pr2_Urb_15-plot101","84789","Grain.test.weight...lbs.bu",57.2,3.22932826481053
"2738","Pr2_Urb_15-plot102","84900","Plant.height.inches",40.0000215999996,3.22932826481053
"70","Pr2_Urb_15-plot106","95976","Grain.test.weight...lbs.bu",58.3,-3.22932826481053
"71","Pr2_Urb_15-plot107","95977","Grain.test.weight...lbs.bu",57.1,-3.22932826481053
"77","Pr2_Urb_15-plot113","95989","Grain.test.weight...lbs.bu",56.8,-3.22932826481053
"1798","Pr1_Urb_16-plot234","96581","Heading.time...Julian.date..JD..",132,3.16026488328557
"120","Pr1_Urb_16-plot236","96378","Grain.test.weight...lbs.bu",56.3,-3.16026488328556
"962","Pr1_Urb_16-plot238","85076","Grain.yield...bu.ac",106,3.16026488328557
"3483","Pr1_Urb_16-plot239","96584","Plant.height.inches",44.00002376,-3.68697569716649
"1806","Pr1_Urb_16-plot242","96576","Heading.time...Julian.date..JD..",130,-3.16026488328556
"967","Pr1_Urb_16-plot243","85154","Grain.yield...bu.ac",99.3999999999999,-3.16026488328556
"974","Pr1_Urb_16-plot250","96610","Grain.yield...bu.ac",109.3,3.16026488328556
"2656","Pr1_Urb_16-plot252","96598","Lodging.incidence...0.9.percentage.scale.",1,3.6869756971665
"4337","Pr1_Urb_16-plot253","85088","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",5,3.16026488328557
"2658","Pr1_Urb_16-plot254","96315","Lodging.incidence...0.9.percentage.scale.",1,-3.16026488328556
"2","Pr1_Urb_17-plot102","84900","Grain.test.weight...lbs.bu",54.1,3.17861790984554
"1683","Pr1_Urb_17-plot103","84801","Heading.time...Julian.date..JD..",117,-3.17861790984553
"846","Pr1_Urb_17-plot106","84997","Grain.yield...bu.ac",85.1,3.17861790984554
"3366","Pr1_Urb_17-plot106","84997","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",8,-3.17861790984554
"861","Pr1_Urb_17-plot121","84745","Grain.yield...bu.ac",94.8,-3.17861790984554
"1711","Pr1_Urb_17-plot131","85170","Heading.time...Julian.date..JD..",119,-3.17861790984553
"33","Pr1_Urb_17-plot133","84975","Grain.test.weight...lbs.bu",57.9,3.17861790984554
"1714","Pr1_Urb_17-plot134","84820","Heading.time...Julian.date..JD..",121,3.17861790984554
"37","Pr1_Urb_17-plot137","84810","Grain.test.weight...lbs.bu",58.8,3.97327238730693
"47","Pr1_Urb_17-plot147","85226","Grain.test.weight...lbs.bu",57.1,3.17861790984554
"543","Pr1_Urb_17-plot154","84685","Grain.test.weight...lbs.bu",56.2,-3.17861790984553
"3424","Pr1_Urb_17-plot164","85148","Stripe.rust.plant.response...0.9.Mc.Neal.scale.",5,-3.97327238730692
"1298","Pr1_Urb_19-plot174","97296","Grain.yield...bu.ac",80.0999999999999,3.06925556008227
"2522","Pr1_Urb_19-plot174","97296","Heading.time...Julian.date..JD..",136,-3.06925556008226
"2540","Pr1_Urb_19-plot208","97282","Heading.time...Julian.date..JD..",136,3.06925556008227
"3768","Pr1_Urb_19-plot212","97295","Plant.height.inches",38.00002052,-3.06925556008226
"3783","Pr1_Urb_19-plot227","97303","Plant.height.inches",35.0000189,3.06925556008226
"5029","Pr1_Urb_19-plot249","97286","Septoria.nodorum.leaf.blotch.severity...0.9.percentage.scale.",3,-3.06925556008227
"1372","Pr1_Urb_19-plot264","97299","Grain.yield...bu.ac",98.9,3.58079815342931
"1376","Pr1_Urb_19-plot268","97300","Grain.yield...bu.ac",88.6,-3.58079815342931
"1399","Pr2_Urb_19-plot107","97309","Grain.yield...bu.ac",95.1,3.06925556008226
"3877","Pr2_Urb_19-plot137","97043","Plant.height.inches",37.00001998,-3.06925556008226
