"","germplasmName","X","War_22","Add_22","Blk_22","Stp_22","Neo_22","Urb_22","yield_factor_analytic","Seed.source.2021","S600.range","S600.row","plot_name","Weight","Moisture","Test.weight","Quick.note","Harvest.Sequence.","action","Found","Grain.test.weight...lbs.bu","Grain.yield...bu.ac","Heading.time...Julian.date..JD..","Plant.height.inches","FHB.DON.content...ppm.","FHB.grain.incidence.....","merit"
"209","2020-9168",NA,69.58,74.48,83.94,92.55,98.25,94.53,85.56,"Aug_Urb_21-plot4408",16,4,"SI_Urb_22-105",6.42,11.3,62.1,"",196,"KEEP",TRUE,59.08,81.91,131.57,38.26,0.57,9.3,499.98
"210","2020-9242",NA,65.53,71.64,79.64,81.92,89.98,92.65,80.23,"Aug_Urb_21-plot4415",15,4,"SI_Urb_22-106",7.28,11.7,61.4,"",195,"KEEP",TRUE,59.28,77.33,134.2,39.07,0.7,9.02,457.53
"211","2020-927",NA,62.41,68.7,78.46,88.73,88.83,93.37,80.08,"Aug_Urb_21-plot316",5,1,"SI_Urb_22-5",2.58,0,0,"",5,"KEEP",TRUE,58.35,77.37,132.8,38.08,1.15,20.89,451.12
"212","2020-9376",62,72.27,75.89,87.2,95.41,102,102.41,89.2,"Aug_Urb_21-plot4510",14,4,"SI_Urb_22-107",6.71,11.7,59.4,"",194,"KEEP",TRUE,57.59,86.93,132.05,38.78,1.07,15.33,505.67
"213","2020-9638",NA,67.42,75.35,82.72,92.31,93.52,97.52,84.81,"Aug_Urb_21-plot4609",13,4,"SI_Urb_22-108",6.96,11.7,61.5,"",193,"KEEP",TRUE,58.82,82.28,132.18,37.72,0.92,11.84,491.16
"214","2020-9801",39,72.48,74.97,88.42,98.18,103.38,107.5,90.82,"Aug_Urb_21-plot4701",12,4,"SI_Urb_22-109",7.95,11.6,61.6,"",192,"KEEP",TRUE,59.05,87.38,132.74,37.47,1.16,19.45,507.13
"215","2020-9818",NA,67.09,71.95,82.31,89.92,94.59,97.17,83.84,"Aug_Urb_21-plot4702",11,4,"SI_Urb_22-110",7.33,11.2,62.5,"",191,"KEEP",TRUE,59.06,81,131.88,36.81,1.09,19.23,478.18
"216","2020-9828",137,69.57,72.91,84.97,93.36,98.92,100.96,86.78,"Aug_Urb_21-plot4705",10,4,"SI_Urb_22-111",7.26,11.6,62.2,"",190,"KEEP",TRUE,59.18,84.31,132.03,37.9,1.64,21.48,484.78
"217","2020-9856",115,69.88,69.6,85.72,93.55,101.58,103.54,87.31,"Aug_Urb_21-plot4708",9,4,"SI_Urb_22-112",7.99,11.6,62.2,"",189,"KEEP",TRUE,58.42,83.38,133.38,37.78,1.08,16.47,484.96
"218","2020-9945",74,70.98,72.76,86.77,96.28,102.08,104.15,88.84,"Aug_Urb_21-plot4720",8,4,"SI_Urb_22-113",7.28,11.5,61.7,"",188,"KEEP",TRUE,58.19,86.55,134.01,33.35,1.25,19.7,493.84
"219","IL16LCSDH-01-T-863-10",72,80.18,68.15,84.61,98.11,99.34,102.92,88.89,"DH2_Urb_21-plot107",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.59,83.76,134.71,38.39,1.57,28.06,463.7
"220","IL16LCSDH-01-T-863-121",NA,72.25,70.74,85.69,91.19,98.06,100.36,86.38,"DH_Urb_21-plot213",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.5,82.96,134.71,36.64,1.12,18.76,473.1
"221","IL16LCSDH-01-T-863-32",140,60.9,70.32,80.26,100.73,101.49,106.81,86.75,"DH2_Urb_21-plot116",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.34,89.1,134.69,34.56,1.35,19.96,502.05
"222","IL16LCSDH-01-T-863-5",102,69.06,68.86,83.39,98.48,100.56,106.8,87.86,"DH2_Urb_21-plot104",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.83,86.25,134.13,35.95,1.12,24.36,490.48
"223","IL16LCSDH-01-T-863-52",NA,56.32,72.08,83.02,97.95,99.77,103.54,85.45,"DH_Urb_21-plot102",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.41,86.78,134.82,36.04,2.06,35.76,465.39
"224","IL16LCSDH-01-T-863-53",NA,67.53,69.04,77.94,89.29,84.74,87.86,79.4,"DH_Urb_21-plot103",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.76,76.22,136.13,37.45,1.77,31.68,410.34
"225","IL16LCSDH-01-T-863-58",30,76.13,72.97,88.69,99.98,105.59,108.76,92.02,"DH_Urb_21-plot106",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.33,89.65,134.45,37.05,0.55,14.04,524.91
"226","IL16LCSDH-01-T-863-6",100,67.03,72.31,85.85,99.42,98.63,104.22,87.91,"DH2_Urb_21-plot105",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.3,83.45,134.4,37.55,0.92,15.76,482.97
"227","IL16LCSDH-01-T-863-63",NA,62.25,70.85,79.35,95.58,103.33,105.97,86.22,"DH_Urb_21-plot111",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.59,87.25,134.12,36.41,1.39,25.72,490.46
"228","IL16LCSDH-01-T-863-69",NA,62.46,69.09,79.98,94.97,96.89,101.12,84.09,"DH_Urb_21-plot114",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.91,82.69,134.61,34.9,1,18.23,474.54
"229","IL16LCSDH-01-T-863-72",NA,67.34,67.96,82.4,96.99,99.87,102.88,86.24,"DH2_Urb_21-plot214",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.43,85.13,132.39,37.36,0.85,12.03,507.05
"230","IL16LCSDH-01-T-863-87",27,80.91,72.85,89.54,98.87,103.39,106.86,92.07,"DH_Urb_21-plot120",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.63,88.11,135.12,38.05,1.37,24.27,490.88
"231","IL16LCSDH-01-T-863-92",126,72.74,75.34,83.45,92.39,99.33,99.21,87.08,"DH_Urb_21-plot204",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.63,85.72,134.76,36.27,1.37,24.69,479.79
"232","IL16LCSDH-02-T-864-20",NA,66.73,67.06,77.89,86.99,92.61,85.59,79.48,"DH_Urb_21-plot313",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.93,74.41,131.25,36.89,0.5,6.09,462.04
"233","IL16LCSDH-02-T-864-24",NA,72.45,69.68,85.24,85.72,96.52,94.34,83.99,"DH_Urb_21-plot315",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.11,78.72,132.12,37.64,0.68,9.8,476.65
"234","IL16LCSDH-02-T-864-27",NA,66.32,72.35,79.47,82.47,93.97,90.19,80.8,"DH_Urb_21-plot316",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.38,77.18,131.74,36.35,0.71,11.15,468.66
"235","IL16LCSDH-02-T-864-29",NA,60.19,72.45,83.38,92.88,100.65,100.12,84.94,"DH_Urb_21-plot317",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.19,83.85,132.67,37.22,0.97,13.39,495.47
"236","IL16LCSDH-02-T-864-37",NA,61.35,70.99,80.91,90.84,93.6,97.86,82.59,"DH_Urb_21-plot320",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.8,80.31,132.27,36.82,0.91,10.01,480.97
"237","IL16LCSDH-02-T-864-38",131,71.6,65.02,85.12,100.58,98.26,101.26,86.97,"DH_Urb_21-plot401",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.22,82.41,132.04,37.22,0.36,4.84,506.61
"238","IL16LCSDH-02-T-864-5",NA,63.77,69.03,85.49,96.69,99.23,100.06,85.71,"DH2_Urb_21-plot303",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.63,82.42,132.23,37.72,0.57,7.02,500.61
"239","IL16LCSDH-02-T-864-54",132,64.14,70.03,84.47,95.46,102.67,104.53,86.88,"DH_Urb_21-plot406",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.79,85.08,131.95,36,1.08,15.79,502.71
"240","IL16LCSDH-02-T-864-59",52,70.81,75.02,88.67,97.45,101.89,105.37,89.87,"DH_Urb_21-plot407",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.15,88.36,132.77,38.01,0.46,9.2,531.95
"241","IL16LCSDH-02-T-864-6",NA,64.89,72.06,84.04,95.83,100.31,102.23,86.56,"DH2_Urb_21-plot304",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.23,84.55,132.07,36.92,0.34,2.21,520.9
"242","IL16LCSDH-02-T-864-60",NA,66.73,71.89,80.09,86.16,96.8,89.68,81.89,"DH_Urb_21-plot408",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.22,77.92,132.16,37.21,0.8,10.85,469.45
"243","IL16LCSDH-02-T-864-63",139,60.69,72.91,85.38,96.58,100.25,104.77,86.76,"DH_Urb_21-plot409",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.18,87.98,132.34,37.02,0.08,1.14,544.56
"244","IL16LCSDH-02-T-864-8",NA,68.79,74.73,84.85,89.74,97.52,97.17,85.47,"DH2_Urb_21-plot306",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.65,80.02,132.21,36.9,0.92,11.54,478.6
"245","IL16LCSDH-03-T-865-28",NA,58.14,71.38,82.43,95.14,97.29,102.98,84.56,"DH2_Urb_21-plot416",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.33,84.5,131.9,35.52,0.64,10.4,510.87
"246","IL16LCSDH-03-T-865-32",NA,62.37,65.91,77.83,90.35,91.79,93.45,80.28,"DH2_Urb_21-plot417",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.34,78.02,133.82,37.23,0.67,14.17,460.76
"247","IL16LCSDH-03-T-865-35",NA,61.76,67.82,79.31,89.41,95.64,99.59,82.25,"DH_Urb_21-plot410",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.29,80.7,132.91,35.91,0.69,9.65,483.48
"248","IL16LCSDH-03-T-865-36",NA,64.4,72.19,82.15,87.54,97.27,97.5,83.51,"DH_Urb_21-plot411",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.02,80.55,132.05,36.99,0.65,10.77,487.3
"249","IL16LCSDH-03-T-865-39",NA,54.42,68.32,81.68,93.63,96.84,99.53,82.4,"DH_Urb_21-plot412",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.22,83.09,132.11,36.24,0.75,13.09,498.14
"250","IL16LCSDH-03-T-865-40",NA,67.37,67.9,77.78,87.92,97.06,97.4,82.57,"DH_Urb_21-plot413",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.9,79.73,132.3,36.34,0.63,12.01,480.88
"251","IL16LCSDH-03-T-865-46",NA,54.39,69.57,79.19,97.07,101.39,103.01,84.1,"DH_Urb_21-plot417",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.41,83.1,132.12,35.95,1.15,13.81,491.03
"252","IL16LCSDH-03-T-865-65",NA,63.37,70.06,82,92.25,95.29,95.6,83.1,"DH_Urb_21-plot420",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.07,80.51,134.16,37.12,0.61,15.17,473.15
"253","IL16LCSDH-04-T-2659-20",37,92.22,71.63,90.37,91.81,98.55,101.25,90.97,"DH_Urb_21-plot514",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.58,83.8,133.83,35.53,1.06,10.4,489.27
"254","IL16LCSDH-04-T-2659-207",7,94.3,74.08,92.57,96.9,105.65,102.79,94.38,"DH_Urb_21-plot1406",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.53,86.83,133.66,38.06,1.87,25.43,482.51
"255","IL16LCSDH-04-T-2659-212",63,75.57,70.77,84.04,96.9,101.66,106.2,89.19,"DH_Urb_21-plot1409",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.29,87.44,133.71,35.96,1.13,14.64,505.97
"256","IL16LCSDH-04-T-2659-216",11,84.31,76.38,91.45,97.07,106.54,108.19,93.99,"DH_Urb_21-plot1411",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.03,89.84,133.58,36.02,1.13,18.34,517.36
"257","IL16LCSDH-04-T-2659-225",28,87.98,73.45,91.81,93,102.87,103.31,92.07,"DH_Urb_21-plot1418",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.8,85.17,133.29,36.27,1.17,13.86,495.73
"258","IL16LCSDH-04-T-2659-23",NA,81.3,72.75,80.08,88.35,92.7,96.16,85.22,"DH_Urb_21-plot516",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.25,80.81,133.11,35.77,0.74,10.23,481.71
"259","IL16LCSDH-04-T-2659-231",NA,77.34,74.47,82.95,87.74,94.36,93.62,85.08,"DH_Urb_21-plot1501",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.22,81.56,133.88,37.31,0.57,6.26,487.1
"260","IL16LCSDH-04-T-2659-232",50,75.41,70.89,91.85,96.34,102.05,104.72,90.21,"DH_Urb_21-plot1502",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.5,85.73,134.4,36.37,1.1,12.15,494.96
"261","IL16LCSDH-04-T-2659-3",9,80.25,74.36,93.25,100.5,108.07,109.19,94.27,"DH_Urb_21-plot504",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.14,90.83,133.4,36.36,1.8,25.74,506.27
"262","IL16LCSDH-04-T-2659-8",49,92.35,75.35,86.47,91.08,95.73,100.66,90.27,"DH_Urb_21-plot507",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.49,83.61,133.48,36.96,1.26,18.01,481.75
"263","IL16LCSDH-05-T-2660-3",NA,50.44,71.38,79.45,90.8,100,100.73,82.13,"DH2_Urb_21-plot418",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.41,84.99,133.07,36.86,1.42,19.2,488.01
"264","IL16LCSDH-06-T-2661-12",61,72.05,70.37,84.91,99.84,101.52,107.33,89.34,"DH_Urb_21-plot612",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.66,88.34,133.82,36.99,1.71,27.89,484.66
"265","IL16LCSDH-06-T-2661-17",22,57.95,75.49,91.7,106.01,108.73,115.75,92.61,"DH_Urb_21-plot616",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.96,93.99,135.04,37.65,1.67,22.78,517.84
"266","IL16LCSDH-06-T-2661-19",121,58.89,73.39,85.58,97.91,100.86,106.21,87.14,"DH2_Urb_21-plot504",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.13,86.53,133.1,38.24,1.29,22.78,496.05
"267","IL16LCSDH-06-T-2661-202",104,71.24,71.92,86.74,97.01,97.25,102.54,87.78,"DH_Urb_21-plot1508",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.02,84.83,133.75,37.76,0.24,9.68,509.73
"268","IL16LCSDH-06-T-2661-206",29,77.56,72.92,91.38,101.55,101.7,107.12,92.04,"DH_Urb_21-plot1509",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.4,90.75,133.63,36.04,1.52,26.84,497.99
"269","IL16LCSDH-06-T-2661-21",NA,77.31,70.33,84.22,92.16,94.85,97.9,86.13,"DH2_Urb_21-plot505",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.6,81.03,132.94,36.61,0.84,11.75,481.31
"270","IL16LCSDH-06-T-2661-212",130,65.65,69.91,82.36,97.71,100.94,105.38,86.99,"DH_Urb_21-plot1512",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.98,84.83,133.3,38.82,1.07,20.18,490.83
"271","IL16LCSDH-06-T-2661-228",26,73.07,73.56,86.91,102.74,106.17,111,92.24,"DH2_Urb_21-plot704",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.39,92.42,134.15,37.14,1.38,23.13,508.92
"272","IL16LCSDH-06-T-2661-231",NA,61.59,69.61,78.6,94.15,93.76,99.48,82.87,"DH_Urb_21-plot1602",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.8,81.41,134.61,37.5,0.81,13.79,470.32
"273","IL16LCSDH-06-T-2661-234",NA,65.5,72.63,86.1,89.67,98.61,101.51,85.67,"DH_Urb_21-plot1605",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.28,82.52,133.93,38.7,0.86,12.26,483.63
"274","IL16LCSDH-06-T-2661-39",48,84.2,71.11,88.14,93.62,100.84,105.06,90.5,"DH2_Urb_21-plot507",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.28,85.22,133.22,37.49,1.51,21.89,484.94
"275","IL16LCSDH-06-T-2661-52",NA,66.25,75.56,86.22,94.25,94.79,99.9,86.16,"DH_Urb_21-plot706",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.34,85.35,133.14,38.62,1.14,19.07,494.46
"276","IL16LCSDH-06-T-2661-9",NA,59.81,70.74,84.85,95.71,99.41,107.73,86.38,"DH2_Urb_21-plot503",NA,NA,"",NA,NA,NA,"",NA,"",NA,57.3,87.62,134.04,36.49,1.59,25.91,477
"277","IL16LCSDH-07-T-2662-201",123,68.35,75.21,83.92,94.27,99.54,101.4,87.11,"DH_Urb_21-plot1606",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.26,86.87,133.88,38.52,1.06,11.23,505.5
"278","IL16LCSDH-07-T-2662-202",8,74.51,76.57,90.21,103.03,107.24,114.12,94.28,"DH_Urb_21-plot1607",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.3,94.42,134.51,37.1,1.94,31.06,512.48
"279","IL16LCSDH-07-T-2662-203",35,78.89,75.54,86.29,100.8,100.92,103.77,91.03,"DH_Urb_21-plot1608",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.48,90.77,134.64,37.28,1.06,13.9,521.19
"280","IL16LCSDH-07-T-2662-21",NA,67.27,72.09,87.17,89.96,97.66,100.35,85.75,"DH_Urb_21-plot805",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.06,82.09,135.63,36.65,1.89,32.58,441.6
"281","IL16LCSDH-07-T-2662-22",NA,56.31,70.53,83.33,94.59,100.65,101.08,84.42,"DH_Urb_21-plot807",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.67,83.49,134.23,37.59,1.22,21.6,475.12
"282","IL16LCSDH-07-T-2662-222",NA,71.06,66.85,79.21,84.06,87.89,93.4,80.41,"DH_Urb_21-plot1616",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.79,77.16,134.88,38.89,1.25,21.68,436.44
"283","IL16LCSDH-07-T-2662-225",38,81.81,72.77,88.42,96.42,101.31,104.87,90.93,"DH_Urb_21-plot1618",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.3,85.85,134.73,37.79,1.33,25.74,480.52
"284","IL16LCSDH-07-T-2662-23",NA,76.11,67.37,84.19,92.02,96.84,99.46,86,"DH_Urb_21-plot808",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.66,82.21,133.85,38.15,1.29,18.24,471.38
"285","IL16LCSDH-07-T-2662-237",NA,73.84,70.2,86.12,91.37,96.62,100.57,86.45,"DH_Urb_21-plot1704",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.14,84.41,135.69,36.52,1.35,21.32,470.08
"286","IL16LCSDH-07-T-2662-241",78,75.62,71.8,86.91,94.02,101.38,102.47,88.7,"DH_Urb_21-plot1705",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.49,85.04,134.52,36.21,1.54,28.31,472.07
"287","IL16LCSDH-07-T-2662-31",NA,62.11,70.63,82.86,93.41,95.08,100.09,84.03,"DH_Urb_21-plot810",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.21,82.31,134.89,38.51,1.22,22.1,464.77
"288","IL16LCSDH-07-T-2662-43",NA,66.69,70.19,80.46,93.11,93.63,99.4,83.91,"DH_Urb_21-plot814",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.48,83.27,135.08,37.03,1.63,28.55,457.71
"289","IL16LCSDH-07-T-2662-47",113,70.18,69.64,86.15,98.57,97.34,102.24,87.35,"DH_Urb_21-plot815",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.87,86.39,134.68,38.33,1.89,31.93,469.82
"290","IL16LCSDH-08-T-2663-21",6,83.54,77.46,88.99,100.74,106.89,109.12,94.46,"DH_Urb_21-plot905",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.59,93.12,134.43,38.99,1.77,27.64,511.87
"291","IL16LCSDH-08-T-2663-55",5,77.15,72.07,91.19,103.49,110.35,113.19,94.57,"DH_Urb_21-plot913",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.39,91.7,133.76,38.56,1.44,19.57,519.9
"292","IL16LCSDH-09-T-2664-16",4,83.75,77.85,94.65,97.8,108.36,105.88,94.72,"DH_Urb_21-plot1005",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.05,90.51,134.09,36.85,1.14,21.58,515.67
"293","IL16LCSDH-09-T-2664-18",42,68.15,70.79,87.21,101.19,106.51,109.95,90.63,"DH_Urb_21-plot1006",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.94,90.72,134.44,36.76,0.73,15.62,526.69
"294","IL16LCSDH-09-T-2664-20",1,72.46,76.62,92.27,107.4,110.96,116,95.95,"DH_Urb_21-plot1007",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.9,93.14,134.12,37.13,1.01,19.35,534.1
"295","IL16LCSDH-09-T-2664-23",2,81.17,76.38,91.84,104.07,107.26,113.96,95.78,"DH_Urb_21-plot1008",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.84,91.26,134.33,37.49,0.89,17.55,525.95
"296","IL16LCSDH-09-T-2664-24",18,79.74,74.28,93.29,98.56,107.7,106.21,93.3,"DH_Urb_21-plot1009",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.96,90.64,134.04,37.01,1.07,20.2,518.98
"297","IL16LCSDH-09-T-2664-27",10,77.83,76.05,91.86,100.4,108.49,110.31,94.16,"DH_Urb_21-plot1010",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.35,92.47,134.76,37.09,1.56,28.09,510.18
"298","IL16LCSDH-09-T-2664-28",3,77.04,75.57,96.53,100.07,109.21,110.54,94.83,"DH_Urb_21-plot1011",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.07,92.2,133.93,37.32,0.88,17.53,533.52
"299","IL16LCSDH-09-T-2664-30",20,75.63,74.43,91.09,99.51,105.92,109.99,92.76,"DH_Urb_21-plot1012",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.87,90.78,134.93,37.35,1.38,25.84,505.06
"300","IL16LCSDH-09-T-2664-36",14,75.02,73.69,92.91,100.65,108.91,110.9,93.68,"DH_Urb_21-plot1016",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.96,89.7,134.05,37.36,0.96,18.13,517.25
"301","IL16LCSDH-09-T-2664-40",12,77.56,73.24,93.19,99.16,108.04,112.23,93.9,"DH_Urb_21-plot1017",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.12,89.61,134.15,37.39,0.96,18.52,515.82
"302","IL16LCSDH-09-T-2664-43",31,76.7,71.16,92.31,96.32,106.96,108.28,91.96,"DH_Urb_21-plot1019",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.88,89.17,134.34,37.38,0.88,17.2,514.82
"303","IL16LCSDH-10-T-2665-19",NA,61.36,70.15,80.03,87.12,91.68,93.55,80.65,"DH_Urb_21-plot1112",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.38,78.14,133,36.74,1.06,12.04,461.25
"304","IL16LCSDH-10-T-2665-20",NA,55.99,74.54,83.79,95.31,100.37,100.87,85.15,"DH_Urb_21-plot1113",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.23,85.36,133.98,35.63,0.95,13.01,497.22
"305","IL16LCSDH-10-T-2665-21",13,82.59,74.65,90.17,101.63,103.69,109.61,93.72,"DH_Urb_21-plot1114",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.69,88.79,132.84,35.74,1.85,28.44,495.65
"306","IL16LCSDH-10-T-2665-22",43,71.55,72.56,87.13,102.5,101.88,108.07,90.61,"DH_Urb_21-plot1115",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.48,90.08,134.64,36.45,1.66,27.7,496.4
"307","IL16LCSDH-10-T-2665-41",34,68.73,72.3,90.22,100.84,105.13,112.07,91.55,"DH_Urb_21-plot1208",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.37,90.96,133.41,34.83,1.32,22.68,517.94
"308","IL16LCSDH-10-T-2665-42",114,81.03,73.76,86.99,90.31,98.19,93.83,87.35,"DH_Urb_21-plot1209",NA,NA,"",NA,NA,NA,"",NA,"",NA,61.44,80.38,132.28,36.72,1.11,14.1,475.51
"309","IL16LCSDH-10-T-2665-52",24,80.59,71.77,90.6,99.89,102.69,109.76,92.55,"DH_Urb_21-plot1214",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.4,87.74,135.16,36.41,2.28,36.73,463.92
"310","IL16LCSDH-10-T-2665-54",NA,58.25,73.52,84.34,94.42,97.39,102.53,85.08,"DH_Urb_21-plot1215",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.52,84.49,133.17,35.16,1.57,24.42,478.55
"311","IL16LCSDH-10-T-2665-69",NA,66.02,68.62,79.08,85.88,89.9,90.33,79.97,"DH_Urb_21-plot1220",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.93,74.66,132.88,35.69,1.05,15.7,440.42
"312","IL16LCSDH-10-T-2665-70",NA,54.32,71.14,78.63,92.82,92.18,92.52,80.27,"DH_Urb_21-plot1301",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.93,77.79,132.64,36.44,1.55,22.29,447.17
"313","IL16LCSDH-10-T-2665-75",NA,68.29,66.52,77.99,84.17,85.26,86.53,78.13,"DH_Urb_21-plot1303",NA,NA,"",NA,NA,NA,"",NA,"",NA,60.11,72.56,133.99,40.15,1.08,14.1,423.15
"314","IL16LCSDH-10-T-2665-8",NA,58.72,68.67,76.95,86.9,87.56,93.08,78.65,"DH_Urb_21-plot1102",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.62,79.07,134.08,38.46,1.49,22.1,447.3
"315","IL16LCSDH-11-T-2666-206",41,83.42,72.07,83.39,94.51,105.17,105.2,90.63,"DH_Urb_21-plot1714",NA,NA,"",NA,NA,NA,"",NA,"",NA,58.86,88.18,133.96,36.71,1.47,27.81,493.5
"316","IL16LCSDH-11-T-2666-208",101,67.33,70.5,86.26,97.08,102.14,103.85,87.86,"DH_Urb_21-plot1716",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.66,88.38,133.58,35.61,1.5,26.75,496.85
"317","IL16LCSDH-11-T-2666-212",122,69.46,71.46,84.64,95.76,99.7,101.72,87.12,"DH_Urb_21-plot1719",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.48,84.66,133.67,36.3,1.09,20.36,487.66
"318","IL16LCSDH-11-T-2666-220",NA,72.12,69.24,79.82,90.91,99.19,98.98,85.04,"DH_Urb_21-plot1804",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.58,82.53,132.42,36.01,0.73,11.69,494.51
"319","Kaskaskia",NA,65.33,63.04,82.28,93.39,96.07,100.63,83.46,"Checks",NA,NA,"",NA,NA,NA,"",NA,"",NA,59.02,77.25,137.15,41.88,2.09,32.65,404.66
"320","Pio 25R74",NA,79.52,74.42,89.13,96.96,104.94,103.47,91.41,"Checks",NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
